"","Meta.Data.datapoints","Meta.Data.interval","Meta.Data.ticker","Meta.Data.credit.cost","Meta.Data.Time.Zone","Meta.Data.last.refreshed","Crypto.Historical.Price.date","Crypto.Historical.Price.open","Crypto.Historical.Price.high","Crypto.Historical.Price.low","Crypto.Historical.Price.close","Crypto.Historical.Price.adj_close","Crypto.Historical.Price.volume"
"161",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-31",6309.11,6391.25,6241.49,6342.61,6342.61,245357244
"162",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-30",6314.38,6340.68,6286.3,6309.11,6309.11,269592154
"163",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-29",6470.74,6483.39,6282.58,6313.91,6313.91,342463526
"164",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-27",6470.17,6483.24,6444.74,6470.74,6470.74,109118160
"165",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-26",6457.21,6479,6445.95,6470.17,6470.17,124066466
"166",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-25",6462.77,6514,6441.81,6457.21,6457.21,215447656
"167",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-24",6476.52,6497.9,6432.3,6462.77,6462.77,231214963
"168",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-23",6470.63,6538.35,6465.73,6476.25,6476.25,222068131
"169",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-22",6484.32,6496.2,6438.99,6470.22,6470.22,220913293
"170",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-21",6509.87,6531.23,6460.38,6483.23,6483.23,202766914
"171",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-20",6490.6,6557.39,6474.47,6509.87,6509.87,105283929
"172",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-19",6469.28,6645.2,6395.45,6490.56,6490.56,127185847
"173",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-18",6489.37,6503.09,6449.36,6469.28,6469.28,237855085
"174",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-17",6576.4,6616.27,6445.05,6488.72,6488.72,331761115
"175",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-16",6583.05,6589.2,6511.6,6574.52,6574.52,220418636
"176",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-15",6612.69,6724.91,6545.54,6583.05,6583.05,324232509
"177",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-14",6277.73,7234.83,6244.77,6612.36,6612.36,1190524168
"178",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-13",6267.27,6346.56,6247.17,6277.73,6277.73,215422888
"179",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-12",6252.1,6280.73,6238.92,6267.27,6267.27,137705035
"180",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-11",6209.47,6296.56,6173.86,6250.85,6250.85,289840137
"181",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-10",6581.07,6581.59,6171.95,6209.47,6209.47,654924117
"182",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-09",6631.79,6633.22,6487.86,6581.07,6581.07,323664963
"183",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-08",6650.07,6657,6589.39,6631.79,6631.79,213976678
"184",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-07",6601.46,6698.31,6565.01,6650.07,6650.07,313507433
"185",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-06",6589.94,6622.49,6535.02,6601.15,6601.15,179378859
"186",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-05",6632.88,6637.08,6563.25,6589.94,6589.94,162722103
"187",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-04",6580,6683.55,6546.98,6632.87,6632.87,262562344
"188",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-03",6492.61,6622.32,6486.86,6579.79,6579.79,277614018
"189",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-02",6525.46,6537.07,6428.98,6492.26,6492.26,306385346
"190",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-10-01",6594.98,6618.95,6478.04,6525.47,6525.47,267166277
"191",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-30",6623.82,6662.6,6510.54,6594.98,6594.98,256959931
"192",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-29",6603.75,6741.96,6543.68,6623.71,6623.71,174302164
"193",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-28",6635.4,6635.42,6474.23,6603.75,6603.75,245055396
"194",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-27",6686.13,6806.1,6545.41,6635.38,6635.38,497340510
"195",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-26",6462.6,6733.94,6434.76,6686.13,6686.13,345096700
"196",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-25",6437.74,6543.92,6383.16,6462.6,6462.6,264402806
"197",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-24",6583.53,6583.54,6333.21,6437.74,6437.74,420279170
"198",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-23",6702.73,6717.6,6557.82,6583.53,6583.53,324660682
"199",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-22",6716.6,6768.56,6663.9,6702.7,6702.7,169080003
"200",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-21",6762.07,6834.49,6633.01,6716.6,6716.6,261159308
"201",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-20",6505.97,6785.22,6501.01,6762.06,6762.06,569642976
"202",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-19",6398.83,6551.93,6361.33,6505.9,6505.9,301619960
"203",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-18",6346.44,6522.9,6131.02,6398.8,6398.8,452379323
"204",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-17",6261.33,6393.39,6238.25,6346.44,6346.44,348485895
"205",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-16",6502.44,6538.82,6216.83,6261.48,6261.48,399675966
"206",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-15",6522.68,6525.05,6404.31,6502.44,6502.44,200545603
"207",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-14",6485.39,6573.19,6473.47,6522.08,6522.08,208349557
"208",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-13",6492.17,6591.59,6393.84,6486.01,6486.01,377989402
"209",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-12",6337.08,6534.89,6337.08,6492,6492,425090869
"210",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-11",6295.54,6357.89,6208.28,6337.11,6337.11,332537236
"211",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-10",6324.43,6415.51,6199.19,6295.54,6295.54,324512939
"212",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-09",6249.07,6371.42,6247.64,6324.43,6324.43,320435279
"213",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-08",6200.23,6451.25,6161.83,6249.07,6249.07,244400344
"214",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-07",6413.12,6480.57,6134.76,6200.16,6200.16,317380272
"215",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-06",6515.42,6549.39,6345.48,6411.78,6411.78,344487244
"216",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-05",6705.06,6727.19,6295.11,6515.42,6515.42,823309044
